100001,AP06012
100002,AP06045
100003,AP06047
100004,AP06021
100005,AP06027
100006,AP06022
100007,AP06053
100008,AP06060
100009,AP06058
100010,AP06034
100011,AP06010
100012,AP06056
100013,AP06051
100014,AP06006
100015,AP06057
100016,AP06020
100017,AP06046
100018,AP06035
100019,AP06013
100020,AP06064
100021,AP06077
100022,AP06059
100023,AP06069
100024,AP06100
100025,AP06080
100026,AP06085
100027,AP06091
100028,AP06108
100029,AP06119
100030,AP06109
100031,AP06110
100032,AP06111
100033,AP06154
100034,AP06120
100035,AP06121
100036,AP06122
100037,AP06169
100038,AP06155
100039,AP06176
100040,AP06197
100041,AP06216
100042,AP06218
100043,AP06222
100044,AP06229
100045,AP06236
130001,AP06014
130002,AP06011
130003,AP06050
130004,AP06024
130005,AP06028
130006,AP06065
130007,AP06075
130008,AP06038
130009,AP06055
130010,AP06054
130011,AP06007
130012,AP06036
130013,AP06067
130014,AP06018
130015,AP06001
130016,AP06040
130017,AP06039
130018,AP06062
130019,AP06019
130022,AP06015
130023,AP06068
130024,AP06066
130025,AP06042
130026,AP06029
130027,AP06044
130028,AP06061
130030,AP06048
130031,AP06026
130032,AP06017
130033,AP06016
130034,AP06078
130036,AP06043
130037,AP06052
130038,AP06003
130039,AP06073
130040,AP06037
130041,AP06008
130042,AP06032
130044,AP06074
130045,AP06049
130046,AP06076
130047,AP06041
130048,AP06063
130050,AP06031
130051,AP06025
130052,AP06033
130053,AP06023
130054,AP06070
130055,AP06030
130056,AP06071
130057,AP06072
130058,AP06079
130059,AP06081
130060,AP06082
130061,AP06083
130062,AP06090
130063,AP06093
130064,AP06094
130065,AP06095
130066,AP06088
130068,AP06087
130069,AP06148
130070,AP06096
130071,AP06146
130072,AP06097
130073,AP06101
130074,AP06099
130075,AP06124
130077,AP06152
130078,AP06103
130079,AP06104
130080,AP06105
130081,AP06106
130082,AP06107
130083,AP06173
130084,AP06151
130085,AP06156
130086,AP06112
130088,AP06125
130089,AP06174
130090,AP06126
130091,AP06153
130092,AP06157
130093,AP06175
130094,AP06166
130095,AP06127
130096,AP06183
130097,AP06136
130098,AP06137
130099,AP06135
130100,AP06138
130101,AP06139
130102,AP06143
130103,AP06144
130104,AP06163
130105,AP06158
130106,AP06159
130107,AP06162
130108,AP06160
130109,AP06177
130110,AP06170
130111,AP06172
130112,AP06171
130113,AP06179
130114,AP06180
130116,AP06195
130117,AP06181
130118,AP06182
130119,AP06186
130120,AP06185
130121,AP06184
130122,AP06189
130123,AP06187
130124,AP06190
130125,AP06194
130126,AP06192
130127,AP06188
130128,AP06191
130129,AP06150
130130,AP06196
130131,AP06205
130132,AP06200
130133,AP06206
